order_id,order_date,ship_date,ship_mode,customer_id,segment,state,region,category,sub_category,sales,quantity,discount,profit
CA-1000,2020-03-28,2020-03-31,Second Class,CUS-199,Home Office,Florida,South,Furniture,Chairs,2726.35,7,0.0,218.11
CA-1001,2023-03-30,2023-03-31,Same Day,CUS-121,Consumer,Washington,East,Technology,Accessories,721.19,6,0.5,-951.97
CA-1002,2023-02-28,2023-03-03,Second Class,CUS-918,Home Office,New York,West,Technology,Phones,652.58,3,0.5,-861.41
CA-1003,2022-06-16,2022-06-20,First Class,CUS-554,Corporate,Washington,South,Office Supplies,Binders,116.42,2,0.0,25.61
CA-1004,2023-11-14,2023-11-17,First Class,CUS-205,Home Office,Washington,South,Furniture,Furnishings,963.14,2,0.0,77.05
CA-1005,2021-03-31,2021-04-04,Second Class,CUS-826,Corporate,New York,South,Furniture,Chairs,1089.86,4,0.4,-1002.67
CA-1006,2020-07-06,2020-07-11,Standard Class,CUS-140,Consumer,New York,Central,Furniture,Tables,1123.42,5,0.5,-1595.26
CA-1007,2023-03-08,2023-03-10,Same Day,CUS-692,Consumer,Illinois,West,Technology,Phones,341.34,1,0.0,61.44
CA-1008,2022-02-18,2022-02-24,Standard Class,CUS-132,Home Office,Michigan,West,Office Supplies,Pens,508.78,9,0.4,-396.84
CA-1009,2021-09-04,2021-09-09,Second Class,CUS-561,Consumer,Illinois,East,Technology,Accessories,3739.38,6,0.1,49.86
CA-1010,2022-06-10,2022-06-13,Second Class,CUS-790,Home Office,Michigan,East,Office Supplies,Appliances,722.93,9,0.0,159.04
CA-1011,2023-04-09,2023-04-14,Standard Class,CUS-135,Consumer,Ohio,West,Technology,Accessories,1652.13,5,0.1,22.03
CA-1012,2023-09-25,2023-09-28,First Class,CUS-430,Corporate,New York,South,Office Supplies,Pens,317.3,9,0.1,16.92
CA-1013,2021-09-19,2021-09-24,Standard Class,CUS-844,Consumer,California,Central,Technology,Accessories,320.62,1,0.1,4.27
CA-1014,2023-10-29,2023-11-03,Standard Class,CUS-791,Home Office,Florida,Central,Technology,Laptops,301.13,1,0.0,54.2
CA-1015,2021-11-29,2021-12-02,Second Class,CUS-101,Corporate,Texas,East,Furniture,Chairs,131.47,1,0.5,-186.69
CA-1016,2021-12-30,2022-01-05,Standard Class,CUS-515,Consumer,California,South,Furniture,Tables,1321.11,3,0.1,-114.5
CA-1017,2022-09-08,2022-09-15,Standard Class,CUS-610,Home Office,Ohio,South,Furniture,Bookcases,1599.51,8,0.5,-2271.3
CA-1018,2021-02-06,2021-02-12,Standard Class,CUS-610,Home Office,Florida,West,Technology,Phones,1299.26,3,0.2,-253.35
CA-1019,2021-04-17,2021-04-21,Second Class,CUS-250,Consumer,Illinois,South,Technology,Copiers,5024.13,7,0.0,904.34
CA-1020,2022-06-15,2022-06-19,Second Class,CUS-751,Home Office,New York,South,Furniture,Tables,3776.13,9,0.0,302.09
CA-1021,2020-05-31,2020-06-06,Standard Class,CUS-219,Home Office,Texas,South,Furniture,Furnishings,915.35,3,0.4,-842.13
CA-1022,2021-05-24,2021-05-29,Standard Class,CUS-198,Consumer,Ohio,South,Office Supplies,Storage,585.9,8,0.0,128.9
CA-1023,2020-06-09,2020-06-14,Standard Class,CUS-497,Corporate,Ohio,Central,Office Supplies,Paper,229.0,3,0.0,50.38
CA-1024,2021-04-14,2021-04-19,Second Class,CUS-121,Home Office,Illinois,Central,Technology,Copiers,465.03,1,0.1,6.2
CA-1025,2022-05-28,2022-06-02,Standard Class,CUS-552,Consumer,Illinois,East,Technology,Laptops,669.66,2,0.2,-130.59
CA-1026,2022-12-05,2022-12-08,Second Class,CUS-617,Home Office,Illinois,South,Technology,Copiers,672.5,1,0.1,8.97
CA-1027,2020-09-09,2020-09-14,Standard Class,CUS-260,Consumer,Florida,West,Furniture,Chairs,1849.92,3,0.0,147.99
CA-1028,2023-08-04,2023-08-11,Standard Class,CUS-953,Consumer,Ohio,East,Technology,Copiers,1592.19,3,0.0,286.59
CA-1029,2023-04-14,2023-04-18,First Class,CUS-576,Corporate,California,South,Furniture,Bookcases,3175.88,8,0.2,-936.88
CA-1030,2020-11-16,2020-11-19,First Class,CUS-499,Corporate,Florida,South,Technology,Laptops,2429.29,7,0.3,-1124.41
CA-1031,2021-07-28,2021-08-03,Standard Class,CUS-224,Home Office,New York,South,Technology,Accessories,4079.13,7,0.0,734.24
CA-1032,2020-09-20,2020-09-25,Standard Class,CUS-671,Consumer,Ohio,East,Office Supplies,Paper,411.13,6,0.0,90.45
CA-1033,2020-09-25,2020-10-01,Standard Class,CUS-735,Corporate,Washington,South,Technology,Phones,1356.22,3,0.2,-264.46
CA-1034,2022-03-01,2022-03-08,Standard Class,CUS-492,Home Office,New York,West,Office Supplies,Pens,343.41,7,0.0,75.55
CA-1035,2022-06-15,2022-06-20,Standard Class,CUS-803,Corporate,New York,East,Office Supplies,Binders,386.85,6,0.2,-59.96
CA-1036,2023-05-28,2023-06-02,Standard Class,CUS-146,Home Office,New York,West,Furniture,Tables,1566.25,3,0.0,125.3
CA-1037,2020-12-22,2020-12-29,Standard Class,CUS-861,Consumer,New York,East,Technology,Laptops,2407.35,5,0.0,433.32
CA-1038,2023-09-10,2023-09-15,Standard Class,CUS-615,Corporate,New York,Central,Furniture,Chairs,744.9,3,0.4,-685.31
CA-1039,2021-01-14,2021-01-19,Standard Class,CUS-790,Corporate,Illinois,South,Furniture,Furnishings,1778.31,4,0.0,142.26
CA-1040,2021-12-27,2021-12-27,Same Day,CUS-189,Consumer,New York,South,Office Supplies,Storage,55.44,2,0.2,-8.59
CA-1041,2023-01-03,2023-01-08,Standard Class,CUS-475,Corporate,Texas,East,Technology,Laptops,3549.45,9,0.2,-692.14
CA-1042,2023-01-27,2023-02-02,Standard Class,CUS-195,Consumer,Florida,West,Office Supplies,Appliances,572.34,9,0.1,30.53
CA-1043,2023-07-20,2023-07-25,Standard Class,CUS-161,Consumer,Michigan,Central,Furniture,Tables,3644.77,7,0.0,291.58
CA-1044,2020-03-16,2020-03-18,First Class,CUS-554,Consumer,California,East,Furniture,Chairs,491.05,4,0.4,-451.77
CA-1045,2022-06-09,2022-06-12,Second Class,CUS-583,Corporate,Florida,South,Office Supplies,Storage,259.69,5,0.0,57.13
CA-1046,2023-04-01,2023-04-05,First Class,CUS-832,Consumer,New York,South,Office Supplies,Binders,698.06,7,0.0,153.57
CA-1047,2023-04-06,2023-04-10,Second Class,CUS-492,Consumer,Washington,South,Furniture,Tables,242.98,1,0.0,19.44
CA-1048,2023-09-27,2023-10-02,Standard Class,CUS-610,Consumer,Ohio,East,Office Supplies,Paper,128.75,3,0.4,-100.43
CA-1049,2020-02-08,2020-02-12,Second Class,CUS-550,Corporate,Texas,Central,Office Supplies,Appliances,479.67,6,0.0,105.53
CA-1050,2022-10-21,2022-10-28,Standard Class,CUS-447,Corporate,Washington,Central,Technology,Laptops,1919.61,8,0.2,-374.32
CA-1051,2021-11-02,2021-11-04,First Class,CUS-928,Consumer,Ohio,West,Office Supplies,Storage,487.5,5,0.0,107.25
CA-1052,2023-11-26,2023-11-28,Same Day,CUS-332,Consumer,Florida,East,Technology,Copiers,1044.93,4,0.5,-1379.31
CA-1053,2022-11-01,2022-11-05,Second Class,CUS-835,Consumer,Ohio,South,Technology,Accessories,2098.77,3,0.0,377.78
CA-1054,2023-04-16,2023-04-21,Standard Class,CUS-140,Consumer,Washington,Central,Technology,Laptops,1905.94,4,0.0,343.07
CA-1055,2022-07-13,2022-07-18,Standard Class,CUS-657,Home Office,California,East,Technology,Accessories,2620.14,5,0.2,-510.93
CA-1056,2023-06-19,2023-06-24,Second Class,CUS-976,Home Office,Michigan,East,Technology,Laptops,2447.84,9,0.4,-2007.23
CA-1057,2023-05-25,2023-05-28,First Class,CUS-926,Corporate,Illinois,West,Technology,Copiers,345.71,1,0.2,-67.41
CA-1058,2021-04-20,2021-04-25,Standard Class,CUS-808,Corporate,Michigan,West,Office Supplies,Appliances,32.93,1,0.0,7.24
CA-1059,2020-01-01,2020-01-06,Second Class,CUS-784,Home Office,Florida,West,Office Supplies,Pens,131.81,3,0.1,7.03
